feature,importance,absolute_importance
crisis,0.001388888888888906,0.001388888888888906
feel,0.001388888888888906,0.001388888888888906
cost,0.001388888888888906,0.001388888888888906
retirement,0.001388888888888906,0.001388888888888906
review,0.001388888888888906,0.001388888888888906
official,0.001388888888888906,0.001388888888888906
foreign,0.001388888888888906,0.001388888888888906
forbearance,0.001388888888888906,0.001388888888888906
constitutional,0.001388888888888906,0.001388888888888906
company,0.001388888888888906,0.001388888888888906
saving,0.001388888888888906,0.001388888888888906
constitution,0.001388888888888906,0.001388888888888906
default,0.001388888888888906,0.001388888888888906
service,0.001388888888888906,0.001388888888888906
period,0.001388888888888906,0.001388888888888906
business,0.001388888888888906,0.001388888888888906
star,0.001388888888888906,0.001388888888888906
buyback,0.001388888888888906,0.001388888888888906
gop,0.001388888888888906,0.001388888888888906
good,0.001388888888888906,0.001388888888888906
goal,0.001388888888888906,0.001388888888888906
price,0.001388888888888906,0.001388888888888906
campaign,0.001388888888888906,0.001388888888888906
gift,0.001388888888888906,0.001388888888888906
mexico,0.001388888888888906,0.001388888888888906
eagle,0.001388888888888906,0.001388888888888906
ensure,0.001388888888888906,0.001388888888888906
percent,0.001388888888888906,0.001388888888888906
connection,0.001388888888888906,0.001388888888888906
essential,0.001388888888888906,0.001388888888888906
philadelphia,0.001388888888888906,0.001388888888888906
public,0.001388888888888906,0.001388888888888906
purchase,0.001388888888888906,0.001388888888888906
egg,0.001388888888888906,0.001388888888888906
did,0.001388888888888906,0.001388888888888906
month,0.001388888888888906,0.001388888888888906
challenge,0.001388888888888906,0.001388888888888906
change,0.001388888888888906,0.001388888888888906
future,0.001388888888888906,0.001388888888888906
funding,0.001388888888888906,0.001388888888888906
doe,0.001388888888888906,0.001388888888888906
pay,0.0013888888888889284,0.0013888888888889284
office,0.0013888888888889284,0.0013888888888889284
regulatory,0.0013888888888889284,0.0013888888888889284
government,0.0013888888888889284,0.0013888888888889284
president,0.00277777777777779,0.00277777777777779
military,0.00277777777777779,0.00277777777777779
prevent,0.00277777777777779,0.00277777777777779
season,0.002777777777777812,0.002777777777777812
need,0.002777777777777812,0.002777777777777812
act,0.002777777777777812,0.002777777777777812
deal,0.002777777777777812,0.002777777777777812
free,0.002777777777777812,0.002777777777777812
decision,0.002777777777777812,0.002777777777777812
lamar,0.002777777777777812,0.002777777777777812
fund,0.002777777777777812,0.002777777777777812
executive,0.002777777777777812,0.002777777777777812
chief,0.002777777777777812,0.002777777777777812
getty,0.002777777777777812,0.002777777777777812
card,0.002777777777777812,0.002777777777777812
word,0.002777777777777812,0.002777777777777812
help,0.002777777777777812,0.002777777777777812
image,0.002777777777777812,0.002777777777777812
day,0.002777777777777812,0.002777777777777812
power,0.002777777777777812,0.002777777777777812
life,0.002777777777777812,0.002777777777777812
house,0.002777777777777812,0.002777777777777812
family,0.002777777777777812,0.002777777777777812
federal,0.002777777777777812,0.002777777777777812
issue,0.002777777777777812,0.002777777777777812
american,0.0027777777777778347,0.0027777777777778347
school,0.004166666666666696,0.004166666666666696
credit,0.004166666666666719,0.004166666666666719
program,0.004166666666666719,0.004166666666666719
payment,0.004166666666666719,0.004166666666666719
state,0.004166666666666719,0.004166666666666719
city,0.004166666666666719,0.004166666666666719
spending,0.00555555555555558,0.00555555555555558
relief,0.00555555555555558,0.00555555555555558
department,0.005555555555555603,0.005555555555555603
rate,0.005555555555555603,0.005555555555555603
billion,0.005555555555555624,0.005555555555555624
debt,0.006944444444444464,0.006944444444444464
donald,0.0069444444444444866,0.0069444444444444866
save,0.0069444444444444866,0.0069444444444444866
ai,0.0069444444444444866,0.0069444444444444866
according,0.006944444444444508,0.006944444444444508
told,0.006944444444444508,0.006944444444444508
sunday,0.006944444444444508,0.006944444444444508
republican,0.006944444444444508,0.006944444444444508
home,0.006944444444444531,0.006944444444444531
activity,0.006944444444444531,0.006944444444444531
climate,0.006944444444444531,0.006944444444444531
available,0.006944444444444531,0.006944444444444531
february,0.006944444444444531,0.006944444444444531
option,0.008333333333333392,0.008333333333333392
wrote,0.008333333333333392,0.008333333333333392
administration,0.008333333333333392,0.008333333333333392
million,0.008333333333333392,0.008333333333333392
experience,0.008333333333333415,0.008333333333333415
new,0.008333333333333415,0.008333333333333415
best,0.008333333333333415,0.008333333333333415
time,0.009722222222222299,0.009722222222222299
game,0.009722222222222299,0.009722222222222299
forgiveness,0.01111111111111116,0.01111111111111116
fox,0.011111111111111183,0.011111111111111183
use,0.011111111111111183,0.011111111111111183
way,0.012500000000000067,0.012500000000000067
borrower,0.01388888888888895,0.01388888888888895
just,0.01388888888888895,0.01388888888888895
education,0.015277777777777835,0.015277777777777835
said,0.016666666666666698,0.016666666666666698
feature,0.01666666666666672,0.01666666666666672
year,0.01666666666666672,0.01666666666666672
plan,0.018055555555555602,0.018055555555555602
biden,0.02638888888888895,0.02638888888888895
student,0.033333333333333395,0.033333333333333395
trump,0.03750000000000005,0.03750000000000005
loan,0.03750000000000007,0.03750000000000007
news,0.04861111111111118,0.04861111111111118
